40;;;
Cisco;United States;79304;Information technology
DHL Express;Germany;104000;Transportation
Hilton;United States;173504;Hospitality
Salesforce;United States;52000;Information technology
Stryker;United States;40000;Healthcare
Mars, Incorporated;United States;67784;Manufacture and production
The Adecco Group;Switzerland;45000;Professional services
Mercado Libre;Argentina;13058;Information technology
SAS;United States;13000;Information technology
EY;United Kingdom;300675;Professional services
Intuit, Inc;United States;9382;Information technology
SAP SE;Germany;95853;Information technology
Adobe;United States;22000;Information technology
Admiral Group plc;United Kingdom;11243;Financial Services and Insurance
AbbVie;United States;30000;Information technology
Daimler Mobility AG;Germany;14000;Financial Services and Insurance
Dell Technologies;United States;165000;Information technology
Cadence;United States;8674; Electronics
Marriott International, Inc;United States;176000;Hospitality
Volvo Group;Sweden;100000;Manufacture and production
Roche;Switzerland;98000;Biotechnology and Pharmaceuticals
Deloitte;United Kingdom;334800;Professional services
Santander;Spain;194000;Financial Services and Insurance
Natura;Brazil;6396;Manufacture and production
Scotiabank;Canada;97000;Financial Services and Insurance
Accor;Mexico;75000;Hospitality
Dell Technologies Colombia;Colombia;25400;Information technology
Banco Galicia;Argentina;6256;Financial Services and Insurance
Cerveceria Quilmes;Argentina;6150;Manufacture and production
SAP;Argentina;1100;Information technology
Directv;Argentina;3544;Telecommunications
Banco Ciudad;Argentina;2800;Financial Services and Insurance
Texaco;Mexico;72000;Oil Company
Teleperformance;Argentina;5707;Call center
CNH Industrial;Argentina;1180;Manufacture and production
DOW;United States;12000;Manufacture and production
Oracle;United States;22457;Information technology
Logicalis;Peru;750;Information technology
Puma;Argentina;1250;Manufacture and production
Baufest;Mexico;2571;Information technology
